antid,tns_name,tns_class,tns_redshift,LAISS_RFC_anomaly_score,ra,dec,peak_mag,peak_phase,shap_url,host_sep_arcsec,host_name,host_redshift,host_redshift_type,posted_before
ANT20239isdpk4gf9z5,---,---,,33.0,1.8730432834001167,29.23472978870943,11.967599868774414,129.52239899129927,https://files.slack.com/files-pri/T9C5L6SPK-F08B92RLY8K/ant20239isdpk4gf9z5_forceplot.png?pub_secret=935332595c,6.239977275511318,,0.4671446385133906,PHOT,False
ANT20248py4iq5we10g,2024sbn,---,,38.0,78.37777989015007,-4.058144857203715,18.761768341064453,155.35917602266272,https://files.slack.com/files-pri/T9C5L6SPK-F08BNTK4GJH/ant20248py4iq5we10g_forceplot.png?pub_secret=8b65042a86,10.548601742524031,,0.508728541798817,PHOT,False
ANT2023s33gyb4w2hiv,---,---,,49.0,186.22346233436696,78.52264446191346,19.76020050048828,26.47868982256477,https://files.slack.com/files-pri/T9C5L6SPK-F08BU8L5XS8/ant2023s33gyb4w2hiv_forceplot.png?pub_secret=cdd53ed4d0,0.0788508303258703,WISEA J122453.84+783120.7,0.4227313633200865,PHOT,False
ANT20230ywwjqb62871,---,---,,43.0,113.91911441406776,34.32758167503363,20.019500732421875,135.30227782270958,https://files.slack.com/files-pri/T9C5L6SPK-F08BB6W2R63/ant20230ywwjqb62871_forceplot.png?pub_secret=a9ae46e655,0.0591037992466189,WISEA J073540.59+341938.8,0.6422012696346786,PHOT,False
ANT2024acs1pgl07wih,2024aaqv,---,,30.0,273.8065570213173,46.01543229919395,17.976791381835938,87.38659970548906,https://files.slack.com/files-pri/T9C5L6SPK-F08CKL4RQHY/ant2024acs1pgl07wih_forceplot.png?pub_secret=339335d517,2.484236976834721,,0.2334899826147935,PHOT,False
ANT2023innu4uv1zzj6,---,---,,31.0,165.5720907983778,41.21071553224656,18.13629913330078,286.3944068400524,https://files.slack.com/files-pri/T9C5L6SPK-F08DFJE4YR4/ant2023innu4uv1zzj6_forceplot.png?pub_secret=051590d09e,29.8794088696104,WISEA J110214.90+411250.7,0.4177703502655493,PHOT,False
ANT2024382nx87bbpk3,2024afao,SN Ic,0.05,38.98,44.50581608278381,41.7139382884273,18.249202728271484,38.204144039176754,https://files.slack.com/files-pri/T9C5L6SPK-F08EGP4TRAL/ant2024382nx87bbpk3_forceplot.png?pub_secret=85bfcd4cdb,20.53590552422296,WISEA J025800.08+414305.3,0.0330460858743043,PHOT,False
ANT2025nfi7sfj1jutl,2025xv,---,,36.98,166.9268943,6.00150190489471,18.887773513793945,18.129028239272884,https://files.slack.com/files-pri/T9C5L6SPK-F08DU0C7HGA/ant2025nfi7sfj1jutl_forceplot.png?pub_secret=74d7ace6d4,7.433766315592813,WISEA J110741.95+060005.1,0.078525,SPEC,False
ANT2023jtslbsm31sg6,---,---,,53.0,133.60049091819576,69.84083792839327,20.097999572753903,408.4839946283973,https://files.slack.com/files-pri/T9C5L6SPK-F08EXCDKCUQ/ant2023jtslbsm31sg6_forceplot.png?pub_secret=cc4871d08c,3.0409066776808267,WISEA J085423.70+695026.9,0.3737522832435964,PHOT,False
ANT2025b0m9m7n0g9yz,2025apa,---,,31.0,149.78759346807257,10.291609995409871,18.094600677490234,3.4303140287302085,https://files.slack.com/files-pri/T9C5L6SPK-F08DU38AF5M/ant2025b0m9m7n0g9yz_forceplot.png?pub_secret=551c2ee0c8,3.4570939752815724,GALEXASC J095908.80+101730.3,0.0528954867637318,PHOT,False
